"population","numATMs","ATMwithdr","withdrvalue","unemprate","numbranches"
9433,0,"missing","missing",0.0272382,0.875
7217,0,"missing","missing",0.025483,0.75
39128,3,".5215342045","104.1817856",0.0165616,3.5
6342,0,"missing","missing",0.0166641,1.375
25780,2,".4975192547","106.0636597",0.0287432,1.375
14583,1,".2830706239","100.0014954",0.0211205,1.875
36532,2,".4846330285","104.4028168",0.0301106,2.3125
16981,1,".3545768857","111.0510254",0.0160492,2.125
5745,0,"missing","missing",0.0236728,0.75
6785,0,"missing","missing",0.0197494,0.875
15166,1,".6153121591","112.5062332",0.0237278,1.5
43034,4,".7584825158","104.0313644",0.0258865,5.125
22712,2,".5210309029","108.6389618",0.0218387,1.8125
22765,2,".7286242247","111.9231873",0.0256973,1.541667
20348,2,".6147605181","110.0933914",0.0300275,1.125
10319,0,"missing","missing",0.0156023,1
13652,1,".4514239728","108.3833313",0.0186053,1.5
11040,1,".3346348107","111.2226334",0.0213768,1.5
11606,0,"missing","missing",0.0160262,1.625
17301,1,".4651495218","103.3214417",0.0212704,1.25
13776,1,".4007479548","109.8556213",0.0224303,1.75
8849,0,"missing","missing",0.0328495,1.25
11888,0,"missing","missing",0.0328495,1.375
16943,1,".4616884589","115.2474518",0.0218379,1.75
22793,3,"1.002136827","110.3294144",0.0233437,2.5625
5466,0,"missing","missing",0.0233437,0.625
543,0,"missing","missing",0.0233437,0.125
1440,0,"missing","missing",0.0233437,0.25
3080,0,"missing","missing",0.0233437,0.25
19101,2,".6308820844","116.0848999",0.0198942,2.25
14531,1,".5291415453","115.1158142",0.0223759,1.5
23696,3,".8189507723","106.5480804",0.0251367,1.75
7215,0,"missing","missing",0.0251367,0.25
8039,1,".457480967","108.4906311",0.0195175,1.5
13281,1,".4627785385","116.9291",0.0207575,1.375
1942,0,"missing","missing",0.0207575,0.25
4137,0,"missing","missing",0.0160267,0.375
1742,0,"missing","missing",0.0160267,0.5
23740,2,".6309022903","97.92996216",0.0434288,1.25
24531,2,".7241038084","112.1759186",0.0165505,2.125
6907,0,"missing","missing",0.0150904,0.625
780,0,"missing","missing",0.0150904,0.125
12998,1,".5472792387","112.817421",0.0195806,1.5
1921,0,"missing","missing",0.0124935,0.125
2806,0,"missing","missing",0.0184582,0.375
2039,0,"missing","missing",0.0184582,0.125
1602,0,"missing","missing",0.0184582,0.125
6099,0,"missing","missing",0.0224627,1.125
28028,3,".8726828098","110.626915",0.0172328,2.90625
7993,0,"missing","missing",0.0151439,1
4815,1,".4866833687","107.0684052",0.014478,1
6029,0,"missing","missing",0.009786,0.5
27597,2,".6493980885","108.5168076",0.0152915,1.78125
10908,0,"missing","missing",0.0136597,1.375
21947,2,".6839649081","108.9347305",0.0147173,1.6875
6098,0,"missing","missing",0.0130196,0.625
10165,1,".5751049519","105.2248688",0.0123955,0.75
10986,0,"missing","missing",0.0125614,1.3125
13231,1,".3454016149","106.8241348",0.0154939,1.3125
14547,1,".4781113565","112.2714462",0.0171857,1.5
16298,2,".8345572352","109.7519989",0.0152079,1.25
2245,0,"missing","missing",0.0152079,0.125
11879,1,".8094422817","115.4501953",0.0171732,1
18964,2,".9379882216","105.1158371",0.0352774,1
7793,0,"missing","missing",0.020018,1
7975,1,".7915924788","110.2389984",0.014421,0.875
6938,0,"missing","missing",0.0167605,0.9375
714,0,"missing","missing",0.0167605,0.125
31271,2,".51656425","107.8255844",0.019379,2.6875
7942,1,".5932735801","100.2192688",0.0255603,0.875
5887,0,"missing","missing",0.0209605,0.75
2013,0,"missing","missing",0.0209605,0.375
5697,0,"missing","missing",0.0209605,0.875
2598,0,"missing","missing",0.0208911,0.375
3529,0,"missing","missing",0.0208911,0.5
2862,0,"missing","missing",0.0217658,0.5
601,0,"missing","missing",0.0217658,0.125
1028,0,"missing","missing",0.0217658,0.25
2033,0,"missing","missing",0.0217658,0.5
15521,2,".6984899044","110.1268387",0.0231947,0.875
5941,0,"missing","missing",0.0231947,0.875
